genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Calyptrozyma	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiomycetidae_ord_Incertae_sedis	f__Eurotiomycetidae_fam_Incertae_sedis	0.0033
g__Purpureodiscus	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	0.0033
g__Stereum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Stereaceae	0.0033
g__Diaporthe	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Diaporthaceae	0.0031
g__Trechispora	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	0.0031
g__Waitea	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Corticiales	f__Corticiaceae	0.003
g__Pleurotaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pleurotaceae	0.0029
g__Pseudomicrostroma	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Microstromatales	f__Microstromatales_fam_Incertae_sedis	0.0029
g__Phlebia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	0.0027
g__Subulicystidium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	0.0027
g__Leucosporidium	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	0.0026
g__Uwebraunia	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Dissoconiaceae	0.0026
g__Schwanniomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.0025
g__Fomitopsis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Fomitopsidaceae	0.0024
g__Myxarium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Hyaloriaceae	0.0023
g__Zygoascus	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	0.0023
g__Elmerina	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	0.0022
g__Hyphodermataceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Hyphodermataceae	0.0021
g__Panellus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Mycenaceae	0.002
g__Pluteus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pluteaceae	0.002
g__Russula	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	0.002
g__Scopuloides	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	0.002
g__Limtongozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	0.0019
g__Septobasidium	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Septobasidiales	f__Septobasidiaceae	0.0019
g__Septoriella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	0.0019
g__Teichospora	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Teichosporaceae	0.0019
g__Auriporia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporales_fam_Incertae_sedis	0.0018
g__Elymus	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	0.0018
g__Physisporinus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	0.0018
g__Hypochnicium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Podoscyphaceae	0.0017
g__Lophiostoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	0.0017
g__Cystobasidiomycetes_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiomycetes_ord_Incertae_sedis	f__Cystobasidiomycetes_fam_Incertae_sedis	0.0016
g__Oliveonia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Oliveoniaceae	0.0016
g__Lenzites	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	0.0015
g__Retiarius	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	0.0015
g__Scleroconidioma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideomycetes_ord_Incertae_sedis	f__Dothideomycetes_fam_Incertae_sedis	0.0015
g__Stereaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Stereaceae	0.0015
g__Camptophora	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Chaetothyriaceae	0.0014
g__Ceraceosorus	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Ceraceosorales	f__Ceraceosoraceae	0.0014
g__Chaetasbolisia	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.0013
g__GS13_gen_Incertae_sedis	k__Fungi	p__Chytridiomycota	c__GS13	o__GS13_ord_Incertae_sedis	f__GS13_fam_Incertae_sedis	0.0013
g__Brevicellicium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	0.0012
g__Dysphania	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Caryophyllales	f__Amaranthaceae	0.0012
g__Eichleriella	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	0.0012
g__Gloeophyllum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Gloeophyllales	f__Gloeophyllaceae	0.0012
g__Rigidoporus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meripilaceae	0.0012
g__Coniothyrium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Coniothyriaceae	0.0011
g__Coronicium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pterulaceae	0.0011
g__Meiorganum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Paxillaceae	0.0011
g__Triticum	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	0.0011
g__Ciboria	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	0.001
g__Ophiosphaerella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	0.001
g__Plantago	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Plantaginaceae	0.001
g__Irpicaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Irpicaceae	9e-04
