genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Daucus	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Apiales	f__Apiaceae	0.001
g__Meiorganum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Paxillaceae	9e-04
g__Tetradesmus	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Sphaeropleales	f__Scenedesmaceae	9e-04
g__Hannaella	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	7e-04
g__Hansfordia	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Hansfordiaceae	7e-04
g__Toxicocladosporium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	6e-04
g__Acrocalymma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Acrocalymmaceae	5e-04
g__Golubevia	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Golubeviales	f__Golubeviaceae	5e-04
g__Xenopyrenochaetopsis	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pyrenochaetopsidaceae	5e-04
g__Cladophialophora	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	2e-04
