run	[Bacteroides] pectinophilus group	[Clostridium] innocuum group	[Clostridium] methylpentosum group	[Eubacterium] brachy group	[Eubacterium] eligens group	[Eubacterium] ruminantium group	[Eubacterium] saphenum group	[Eubacterium] siraeum group	[Eubacterium] ventriosum group	Acetanaerobacterium	Acidaminococcus	Actinomyces	Acutalibacter	Adlercreutzia	Agathobacter	Agathobaculum	Akkermansia	Alistipes	Allisonella	Anaerobutyricum	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroplasma	Anaerosporomusa	Anaerostipes	Anaerotignum	Anaerotruncus	Anaerovorax	Angelakisella	Asaccharobacter	ASF356	Asteroleplasma	Aurantimonas	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Butyricimonas	CAG-196	CAG-352	CAG-56	CAG-873	Caldicoprobacter	Campylobacter	Candidatus Soleaferrea	Caproiciproducens	Catenibacterium	Catenisphaera	CHKCI001	Christensenella	Christensenellaceae R-7 group	Citrobacter	Cloacibacillus	Clostridioides	Clostridium	Colidextribacter	Collinsella	Coprobacillus	Coprobacter	Coriobacteriaceae UCG-003	Corynebacterium	Cronobacter	Defluviitaleaceae UCG-011	Desulfovibrio	Dialister	Dielma	Dorea	DTU089	Eggerthella	Enhydrobacter	Enorma	Enterobacter	Enterocloster	Enterococcus	Enteroscipio	Eremococcus	Erysipelotrichaceae UCG-003	Erysipelotrichaceae UCG-006	Escherichia-Shigella	Eubacterium	Ezakiella	F0332	Faecalibacterium	Faecalicatena	Faecalitalea	Family XIII AD3011 group	Family XIII UCG-001	FD2005	Fenollaria	Finegoldia	Flavonifractor	Fournierella	Frisingicoccus	Fusicatenibacter	Fusobacterium	Gabonibacter	Gardnerella	GCA-900066755	Gemella	Gemmiger	Gordonibacter	Haemophilus	Harryflintia	Helicobacter	Holdemanella	Holdemania	Howardella	Hoylesella	HT002	Hungatella	Hydrogenoanaerobacterium	Intestinimonas	Klebsiella	Kosakonia	Lachnospira	Lachnospiraceae FCS020 group	Lachnospiraceae ND3007 group	Lachnospiraceae NK3A20 group	Lachnospiraceae UCG-003	Lachnospiraceae UCG-006	Lachnospiraceae UCG-010	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Leyella	Ligilactobacillus	Limosilactobacillus	Macellibacteroides	Marvinbryantia	Massiliomicrobiota	Massiliprevotella	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Methanobrevibacter	Mitsuokella	Mobiluncus	Mogibacterium	Monoglobus	Negativibacillus	Neisseria	Neoscardovia	NK4A214 group	Odoribacter	Oscillibacter	Oscillospira	Oxalobacter	Paeniclostridium	Paludicola	Papillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parolsenella	Parvimonas	Pectobacterium	Peptococcus	Peptoniphilus	Peptostreptococcus	Peribacillus	Phascolarctobacterium	Phocea	Phoenicibacter	Porphyromonas	Prevotellaceae UCG-001	Propionibacterium	Pseudobutyrivibrio	Pseudocitrobacter	Pseudoflavonifractor	Pseudomonas	Pseudoprevotella	Psychrobacter	Pyramidobacter	Ralstonia	Raoultella	Rikenella	Rikenellaceae RC9 gut group	Romboutsia	Roseateles	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	S5-A14a	Salmonella	Sarcina	Scardovia	Schaalia	Segatella	Sellimonas	Senegalimassilia	Serratia	Slackia	Sneathia	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Succiniclasticum	Succinivibrio	Sutterella	Synergistes	Thomasclavelia	TM7x	Tractidigestivibacter	Turicibacter	Tyzzerella	UCG-002	UCG-003	UCG-004	UCG-005	UCG-007	UCG-008	UCG-009	Unassigned	V9D2013 group	Varibaculum	Veillonella	Victivallis	Weissella	Zag_111
ERR2662893	0	0.027547556561354	0.0118484114242383	0	0.0145143039946919	0.0962683428219362	0	0.773405055717155	0.00681283656893702	0	0	0	1.65611170682291	0.18246553593327	0	0.128555263952985	0.00266589257045362	0.800656401992903	0.00444315428408936	4.61821456288248	0	0.00355452342727149	0.020734719992417	0	0	0.538806509517237	0	0.00977493942499659	0.121150006812837	0.00503557485530128	0	0.0189574582787813	0.00977493942499659	0	3.19759003311631	0.200830573640839	0.420322395274854	0.148105142802979	9.24561164461875	0.0933062399658766	0.236968228484766	0	0.00296210285605957	0	0	0.00118484114242383	0	0	0.0145143039946919	0.976901521928447	0	0	0.00681283656893702	3.95174142026908	0	0.0231044022772647	0	1.74201268964864	0.298283757605199	1.46979543717676	0	0.00325831314166553	0.0154029348515098	0	0	0.0189574582787813	2.58976652705289	0.00385073371287745	0	1.27400043839122	0.0334717622734732	0.00296210285605957	0	0	0	0.014218093709086	0	0	0	0.0921213988234527	0.0133294628522681	0.00118484114242383	0	0	0	1.27429664867683	0	0.00148105142802979	0.649292946048259	0.05568753369392	0.0189574582787813	0.000296210285605957	0	0.298283757605199	0.0859009828257276	0	1.77370719020847	0.00444315428408936	0	0	0	0	2.15256014549849	0	0	0.00177726171363574	0	2.17833044034621	0.00236968228484766	0.0219195611348408	0	0	0.0438391222696817	0	0.048578486839377	0	0	0.00236968228484766	0.0497633279818008	0.231340233058253	0	0.136849151949952	0.0861971931113336	0.0542064822658902	0.0186612479931753	0	0	0.00236968228484766	0	0	1.06754186932387	0	0	0	0.16558154965373	0	0	1.77785413420696	0.014218093709086	0	0.000296210285605957	0.0180688274219634	0.351897819299877	0	0	0.108116754246174	0	0	0	0.590939519783885	0.159657343941611	0.142477147376465	0.0165877759939336	0.0402845988424102	2.96062180463154	0.0222157714204468	0.00859009828257276	1.36138247264498	0.104858441104509	0.0145143039946919	0.0817540388272442	0.0020734719992417	0	0.00444315428408936	0	0.00118484114242383	0	3.38064798962079	0	0	0	0.00444315428408936	0	0.226897078774163	0	0	0	0	0	0	0	0	0	2.53822593735745	0	0.0020734719992417	0	0	0.00740525714014893	0.102192548534055	0.0802729873992144	0	0	0	0	0.00503557485530128	9.26427289261192	0	0.397514203283195	0	0.162027026226459	0	0	0	0	0.00355452342727149	0	3.50831462271696	0.0728677302590655	0	0.00118484114242383	0	0.0853085622545157	0.090640347395423	0.000296210285605957	4.94078756390737	0.0912327679666349	0.0654624731189166	0.576425215789193	0.000592420571211915	0	0.0245854537052945	20.8748274575086	0	0	0	0.00177726171363574	0	0.138626413663588
ERR2662898	0	0.0716300963351704	0	0.0226584998611253	0.652345520195302	0.145087491046238	0	0	0.00146183870071776	0.00694373382840937	0	0	0.0391041852442002	0.0358150481675852	0	0.360343239726929	0	0.71191544724955	0.16993874895844	1.78709781162746	0	0	0.00511643545251217	0	0	0.129007265338343	0	0.00146183870071776	0	0	0.0157147660327159	0	0	0	6.30637215489643	0.17651702311167	2.03780314880056	0.133027321765316	18.7458885786542	0	0	0	0	0	0.000730919350358881	0	0	0.0098674112298449	0.00475097577733273	5.92190857660766	0.0018272983758972	0	0	0.00219275805107664	0	0	0	0	0.0281403949888169	2.03122487464733	0.00255821772625609	0.0950195155466546	0	0	0	0	0	1.07700966275381	0.0127910886312804	1.54699080503457	0.00255821772625609	0.00292367740143553	0	0	0	1.28203254052948	0.415527650679024	0	0	0.270074699957607	0	0.315026240004678	0	0	0	7.68963702545061	0	0	0.116216176707062	0.00438551610215329	0.101232330024705	0	0	0.139240136243367	0	0	1.20784422646805	0	0	0	0	0.00109637902553832	0	0	0.0080401128539477	0	0.0621281447805049	5.58276199804114	0.0270440159632786	0.000365459675179441	0	0.00255821772625609	0.00621281447805049	0	0.0219275805107664	0	0	0.0785738301635798	0	0.709722689198474	0	0.131200023389419	0	0	0.00475097577733273	0	0	0.00657827415322993	0	0	0	0	0	0	0	0.0120601692809215	0.000730919350358881	3.88702910520853	0	0	0.00950195155466546	0	0	0	0	0.167745990907363	0	0	0	0	0.242299764643969	0	0.176882482786849	0.00109637902553832	0.225854079260894	0.0127910886312804	0	1.15485257356703	0	0	0	0	0	0	0	0.00365459675179441	0	0.0230239595363048	0	0	0	0	0	22.6340140628883	0	0	0	0	0	0	0	0	0	0.00328913707661497	0	0.00146183870071776	0	0	0	2.446021605976	0.00767465317876825	0	0.0402005642697385	0	0	0.00475097577733273	2.2095691961349	0	0.141798353969623	0	0.0497025158244039	0	0	0.00840557252912714	0	0.265689183855453	0	0	0.167380531232184	0	0.00621281447805049	0	0	0.0376423465434824	0.0438551610215329	0.131930942739778	0	0	0	0	0	0	5.39820486207552	0	0	0	0	0.00475097577733273	0
ERR2662910	0	0	0	0	0.302486110331668	2.88063303215669	0	0.2985577192884	1.1891800886694	0	0	0	0.261518603737584	0.000561198720466917	0	0.771648240642011	0	3.32341882260508	0	1.11229586396543	0	0	0	0	0	0.578034682080925	0	0.0112239744093383	0.0145911667321398	0.00392839104326842	0	0	0.103260564565913	0	9.18850665020484	0.143666872439531	7.36910039845109	0.244682642123576	4.69611089286716	0	0.398451091531511	0	5.09456198439868	0	1.14372299231158	0	0	0.00505078848420226	0	0	0	0	0	0.545485156293844	0.0454570963578203	0.00392839104326842	0	0.115606936416185	0.196980750883888	0.423705033952523	0.00729558336606992	0.16387002637634	0.00897917952747068	0	0	0.0123463718502722	0.0196419552163421	0.661653291430496	0	0.915315113081542	0	0.00729558336606992	0	0	0	0.108311353050115	0	0.00112239744093383	0	0.25478421909198	0	0.0600482630899601	0	0	0	9.65205679331051	0	0	0.0796902183063023	0.0123463718502722	0	0	0	0.131881699309726	0.144789269880465	0	1.97485829732308	0	0	0	0	0	1.48661541051686	0.013468769291206	0.0196419552163421	0	0	0	0.00561198720466917	0	0	0	1.80818227734441	0	0.0347943206689489	0	0	2.05510971434985	0.0213255513777429	0.594309444974465	0	0.844604074302711	0	0.0129075705707391	0	0	0	0.020203153936809	0.000561198720466917	0	0	1.41085358325383	0	0	0	0	0	0.184634379033616	0	0	0	0.00280599360233459	0	0	0.000561198720466917	0.280599360233459	0.0101015769684045	0	0	0.985464953139907	0.208204725293226	0.0561198720466917	0.0432123014759526	0	0.56793310511252	0.0280599360233459	0	1.42039396150177	0.63527695156855	0.00280599360233459	0	0	0	0	0	0	0	0.437173803243729	0.00168359616140075	0.0162747628935406	0	3.80941691452943	0	0.574106291037656	0	0	0.0230091475391436	0	0	0	0	0	0	0	0	0	4.08272069139682	0	0	1.07974633817835	0.0162747628935406	0	0	0.367023963185364	0	0.00392839104326842	0	0	0.034233121948482	0	0	0	0	0	0	0.0145911667321398	0	0	0.51518042538863	0	0	0	0	0.0954037824793759	0.104382962006847	2.88007183343622	0.129075705707391	0	0.523037207475167	0	0.00112239744093383	0.0190807564958752	17.8354565351591	0	0	0	0	0	0
ERR2662911	0	0	0.00612986351623117	0	0.335256381541566	3.43673155677315	0	0.201578204091448	0.0103736151813143	0	0	0	0.545793616925968	0	0	1.24129736203681	0	0.0346573052648455	0	1.15241434105146	0	0	0	0	0	0.171164650491686	0	0.00589409953483766	0.0650708588646078	0	0.0447951564647663	0.00943055925574026	0	0	3.47445379379611	0.0334784853578779	0.277729970081551	0	8.18218897426165	0	0.0669569707157559	0	0	0	0.328183462099761	0	0	0.00141458388836104	0.00141458388836104	1.20404665297664	0.964510447880835	0	0.00141458388836104	0.842620469500393	0	0	0	0.245666068612034	0.384295289671416	2.48518812786895	0	0.00660139147901818	0	0	0	0.016739242678939	0.284095597579175	0	0	3.24694155175137	0.00966632323713377	0	0	0	0	0.0877042010783844	0	0	0	0.0961917044085507	0	0	0	0	0	6.53419874432103	0	0	0.218317446770387	0.102321567924782	0.180359445766033	0	0	0	0.0150888948091844	0	1.26463799619477	0	0.00565833555344416	0	0	0	0	0	0	0.00141458388836104	0	0.000943055925574026	0.00518680759065715	0.10420767977593	0	0.00070729194418052	0.0117881990696753	0	0.0240479261021377	0	0	0.307436231737133	0.0110809071254948	0.739355845650037	0.204643135849564	0.93928370187173	1.91534658484085	0	0	0	0	0.00188611185114805	0	0	0	0.00495104360926364	0	0	0.052575367850752	0.00117881990696753	0.898732297072047	2.04949629025375	0	0	0	0.00165034786975455	0	0	0.00117881990696753	0.268535174807204	0	0	0	1.41057590067735	0.0620059271064922	0.0315923735067299	0.0391368209113221	0.0200399384184481	5.40889726112983	0.00872326731155974	0.00919479527434676	0.116703170789786	0.088411493022565	0.00400798768368961	0.29517650470467	0	0	0.357182431811162	0	0	0	1.68500517501939	0	0	0	0.384295289671416	0	0.723559658896672	0	0	0	0	0	0	0	0.00117881990696753	0	3.59917293995327	0	0	8.42809080685507	0.00117881990696753	0	2.07731644005819	0.00259340379532857	0	0	0.133206649487331	0	0.0200399384184481	3.29550893191844	0	0.177766041970704	0	0.701162080664289	0	0.809141984142515	0	0	0.0867611451528104	0	0.0339500133206649	0.0952486484829767	0	0	0	0.123540326250197	0.117174698752573	0.00165034786975455	1.98701883518447	0.287160529337291	0.00235763981393507	0.654245048366981	0	0.00117881990696753	0.0780378778412507	21.2725125131733	0	0	0	0	0	0
ERR2662912	0	0	0.00488351082569703	0	0.64601871779935	2.31234237596755	0	0.402889643120005	0.0111623104587361	0	0	0	1.50202840110367	0	0	0.689272670826953	0	0.0962749277065987	0	1.19122781926824	0	0.00418586642202603	0	0	0	0.140924169541543	0	0.00383704422019053	0.237547919449977	0.00139528880734201	0.0181387544954461	0.00767408844038105	0	0	1.95584608569166	0.0449980640367798	0.286383027706948	0.00348822201835502	8.54998098919	0	0.0348822201835502	0	0	0	1.37122007541536	0	0	0.00279057761468402	0.00209293321101301	0.726945468625187	1.09809229137816	0	0.00523233302753254	1.53551533247988	0.870311393579578	0.000697644403671005	0	0.906240080368635	0.512419814496353	3.78611617872254	0	0.00453468862386153	0	0	0	0.0122087770642426	0.651599873028718	0	0	4.29400130459503	0.0153481768807621	0	0	0	0	0.0519745080734899	0	0	0	0.0683691515597585	0	0.00209293321101301	0	0	0	6.24426623505733	0	0	0.340101646789615	0.163597612660851	0.262663117982133	0	0	0	0.0383704422019053	0	1.03251371743309	0	0.00837173284405206	0	0	0	0.110227815780019	0	0.00244175541284852	0.0104646660550651	0	0	0.0101158438532296	0.10778606036717	0	0	0.0202316877064591	0	0.0327892869725372	0	0	0.304172960000558	0.0282545983486757	0.828801551561154	0.168481123486548	0.851823816882297	0.657878672661758	0.00802291064221656	0	0	0	0.00418586642202603	0	0	0	0.00209293321101301	0	0	0.0617415297248839	0.00174411100917751	0.476491127707296	1.10471991321304	0	0	0.00139528880734201	0.00523233302753254	0	0	0.00348822201835502	0.117204259816729	0	0	0	2.06467861266434	0.0383704422019053	0.0886008392662176	0.067322684954252	0.0177899322936106	7.62978802074795	0.0104646660550651	0.00767408844038105	0.0886008392662176	0.0272081317431692	0.00662762183487455	0.232315586422445	0	0	0.738805423487594	0	0	0	1.94259084202191	0	0	0	0.259174895963778	0	0.569626655597375	0	0	0	0	0	0	0	0.110576637981854	0	2.24850791303165	0.146156502569076	0	6.0632275123047	0	0	0.434283641285201	0.00627879963303904	0	0	0.0449980640367798	0	0.0205805099082946	1.23448177229584	0	0.188363988991171	0	0.283243627890428	0	0.598230076147887	0	0	0.0181387544954461	0	0.0467421750459573	0.0498815748624769	0	0	0	0.109878993578183	0.364170378716265	0.00348822201835502	2.76546241615186	0.156621168624141	0.000697644403671005	1.03111842862575	0	0.00348822201835502	0.0774385288074815	23.124470226281	0.000348822201835502	0	0.00662762183487455	0	0	0
ERR2662913	0	0.00169616102221971	0.00254424153332956	0	0.513654096228869	2.45491038615933	0	0	0.0777407135184034	0	0	0	0.714083790354498	0	0	1.06264488042065	0.0180923842370102	0.320291739695822	0	5.12381975462204	0	0.00197885452592299	0	0	0	1.38745971617572	0	0.00310962854073613	0.0480578956295584	0	0	0.0669983603776785	0	0	4.67999095380788	0.0457963475999322	0.093288856222084	0.00763272459998869	17.8238254084921	0	0.0217673997851529	0.00282693503703285	0	0	0.0412732515406796	0	0.0110250466444281	0.00537117657036241	0	4.02414202521626	0.480861649799288	0	0.00537117657036241	0.842426641035789	0	0.00197885452592299	0	0.198168146096003	0.238027930118166	1.17515689489456	0	0.0534290721999208	0	0	0	0.0166789167184938	0.00876349861480183	0	0	4.18782156386046	0.00226154802962628	0.00395770905184599	0	0	0	0.307287838525471	0	0	0	0.991688810991123	0	0.97331373325041	0	0	0	6.82280771187878	0	0	0.29004353479957	0.1376717363035	0.180923842370102	0.00537117657036241	0	0.0212020127777464	0.0127212076666478	0	2.08882229886357	0	0	0	0	0	0	0	0	0	0	0.000282693503703285	0.00904619211850512	0.140781364844236	0	0.00254424153332956	0.05851755526658	0	0.0189404647481201	0	0	0.768926330072935	0.0124385141629445	0.742353140724826	0.0214847062814497	1.52626222649404	0.0845253576072822	0.0141346751851642	0.0180923842370102	0	0.00706733759258212	0.0113077401481314	0	0	0	0.00254424153332956	0.00650195058517555	0	0.054559846214734	0	0.0392943970147566	2.18409000961158	0	0	0	0.00226154802962628	0	0.00141346751851642	0	0.197885452592299	0	0	0	0.664047040199016	0.0771753265109968	0.0294001243851416	0.102617741844292	0.00508848306665913	2.10126081302652	0.0155481427036807	0.00508848306665913	0.389551648103127	0.13512749477017	0.00169616102221971	0.0896138406739413	0	0	0.486798213377057	0.00452309605925256	0	0	0.514784870243682	0	0	0	0.0390117035110533	0	0.997342681065189	0	0	0	0	0	0	0	0	0	0.109119692429468	0	0.00226154802962628	0.141064058347939	0	0	1.84429241816023	0.013851981681461	0	0	0	0	0.00537117657036241	0.25131452479222	0	0.180358455362696	0	0.335839882399502	0	0.516763724769605	0.000282693503703285	0	0.248770283258891	0	0.00169616102221971	0.21343359529598	0	0	0	0.0203539322666365	0.257816475377396	0.00424040255554927	3.4678012099282	0.0961157912591169	0.00113077401481314	0.686379826991576	0	0.00254424153332956	0.0703906824221179	22.3409849041669	0	0	0.00310962854073613	0	0	0
ERR2662914	0	0.238093028004938	0.0116029740743147	0.000464118962972589	0.302605563858128	0.358763958377811	0	0.996463413502149	0.0278471377783553	0	0	0	0.641412406828118	0	0	0.083541413335066	2.38835618345694	1.10785196461557	0.0245983050375472	3.70366932452126	0.00556942755567107	0.000928237925945178	0.0129953309632325	0	0	0.685039589347542	0	0.0241341860745746	0.205604700596857	0.00603354651864366	0	0.0120670930372873	0	0	12.8955453861934	0.20606881955983	1.13059379380123	0.0171724016299858	9.92239930939098	0	0.248303645190335	0	1.04148295291049	0	1.88293063277979	0.00185647585189036	0	0.0965367442982985	0.00556942755567107	0	0.044091301482396	0	0.00928237925945178	4.69224271565288	0	0.00185647585189036	0	0.277543139857608	0.339735080895935	1.09300015780045	0	0.0301677325932183	0	0	0	0.0380577549637523	0.486396673195273	0	0.00232059481486295	0.0399142308156427	0.0301677325932183	0.025990661926465	0	0	0	0	0.00324883274080812	0	0	0.960262134390287	0	1.71631192507263	0	0	0	3.97007360926753	0	0	0.499856123121478	0.0844696512610112	0	0.00881826029647919	0	0.0190288774818762	0.0431630635564508	0	2.36747083012318	0	0.0208853533337665	0.00185647585189036	0	0	0.733772080459663	0.00696178444458884	0	0	0	7.08802480251738	0.0143876878521503	0.194929964448487	0.00371295170378071	0	0	0.00974649822242437	0.0807566995572305	0	0	0.216279436745227	0.0153159257780954	0.0914314357056001	0	0.310495586228662	2.2282351412314	0.0134594499262051	0	0	0	0.000464118962972589	0	0	0	0	0.00696178444458884	0	0.0403783497786152	0.010210617185397	0.0162441637040406	2.25144108938003	0	0	0.00556942755567107	0.0125312120002599	0	0	0.0733307961496691	0.0524454428159026	0	0	0	3.15972189991739	0.100713814965052	0.0357371601488894	0.0877184840018193	0.0143876878521503	2.06115231456127	0.0320242084451086	0.0143876878521503	0.330916820599456	0	0.0403783497786152	0	0.00649766548161625	0	0.459013654379891	0.0083541413335066	0.00464118962972589	0	0.531880331566587	0.00371295170378071	0	0	0.00603354651864366	0	0.0724025582237239	0	0	0	0	0	0	0	0	0	2.64362161309187	0	0	0	0	0	2.39021265930883	0.164762231855269	0.00371295170378071	0	0	0	0.0278471377783553	0.00185647585189036	0	0	0	0.188896417929844	0	0	0	0	0.0385218739267249	0	0	0.0728666771866965	0	0.00789002237053401	0.00139235688891777	0.106283242520723	0.00603354651864366	0.00324883274080812	4.54418876646462	0.190288774818762	0.0153159257780954	1.46104649543771	0.0273830188153828	0	0.0529095617788752	12.5117190038151	0	0	0.000928237925945178	0	0	0
ERR2662916	0.207679484433352	0	0	0.000620865424314953	0.136900826061447	0.811160676867485	0	0.129760873681825	0.0816438032974163	0	0	0	0.156768519639526	0.153353759805793	0	0.630178405679677	0.505694888104529	0.702509227612369	0	1.5133594717677	0	0.000931298136472429	0.0127277411984565	0	0	3.73015946928424	0	0.0139694720470864	0.149318134547746	0.00682951966746448	0.00186259627294486	0.00620865424314953	0.0440814451263616	0	15.4105006969214	1.32989373888263	6.24559573589627	0.0673638985381724	6.16146847090159	0	0.16111457760973	0.141557316743809	0.0835063995703611	0	0	0	0	0.00248346169725981	0	0	0	0	0.00279389440941729	4.38051600125415	0	0.0149007701835589	0	0.239033188361257	0.170737991686612	0.698163169642164	0	0.039735387156157	0	0	0	0.03321630020085	0.0471857722479364	0.0248346169725981	0	0.376865312559176	0.00776081780393691	0	0	0	0	0.0239033188361257	0	0	0	0.261694776348752	0	0	0	0	0	5.94882206307372	0	0	0.0813333705852588	0.045633608687149	0.000620865424314953	0	0	0.0872315921162508	0.121068757741416	0	2.7631615709137	0	0	0	0	0.000931298136472429	5.39625183543341	0	0.00465649068236214	0	0	1.53912538687677	0	0.0949924099201877	0	0	0.456025654159333	0.0217302898510233	0.0564987536126607	0	0	0.059292648022078	0.020178126290236	0.650356531969913	0	0.178809242202706	0.624590616860842	0.013659039334929	0.000310432712157476	0	0.00155216356078738	0	0	0	0	1.6651610680127	0	0	0.0524631283546135	0	0	0.799364233805501	0	0	0	0.00931298136472429	0	0	0	0.324091751492405	0	0	0	1.42178182168124	0.275353815683681	0.0596030807342355	0.013659039334929	0.0142799047592439	0.197435204932155	0.0316641366400626	0.00807125051609438	0.212646407827871	0	0.272559921274264	0	0	0	0.0161425010321888	0	0	0	0.772977453272116	0	0	0	0	0	5.42170731783032	0	0	0	0	0	0	0	0	0	0.000310432712157476	0	0	0	0	0	3.11146707395439	0.013038173910614	0	0	0.00372519254588972	0	0.00558778881883457	0	0	0.116722699771211	0	0.0577404844612906	0	0	0	1.2914000825751	0.0217302898510233	0	0	0	0	0.0052773561066771	0	0	0.00745038509177943	0.0589822153099205	0.943405012246571	0.0754351490542668	0.00962341407688177	0.382142668665853	0	0	0.0158320683200313	19.2105075264411	0.000310432712157476	0	0.013659039334929	0	0	0
ERR2662921	0	0.012448615632755	0.00162373247383761	0.0273328299762664	0.0365339806613462	3.90670033205329	0	0	0.129357353749063	0.00487119742151283	0	0.00135311039486468	0.0430289105566967	0	0	0.88331046576766	1.75823164708716	5.53936333449701	0	5.06793967292616	0	0	0	0	0	0.791569580995835	0	0.0146135922645385	0	0	0	0.0598074794530187	0	0	19.8225260406095	0.265480259472449	3.3156617115764	0.269539590657043	12.5560525981073	0	0.0752329379544759	0	2.86291097345468	0	0	0	0	0.00757741821124218	0.0224616325547536	0	0	0	0	0.329347070110062	0	0	0	0.00351808702664816	0.200801582597918	2.00639209350534	0	0.267915858183206	0	0	0.00893052860610686	0.0405933118459403	0.0349102481875086	0.0497944625310201	0	0.541514780024843	0.0116367493958362	0.0608899677689104	0	0	0	0	0.357491766323247	0.0611605898478833	0	0.846235240948368	0	0.108519453668147	0	0	0	7.04997577932393	0	0	0.0365339806613462	0.033286515713671	0	0	0	0.100942035456905	0	0	0.530689896865926	0	0	0	0	0	1.28572549720041	0	0.037345846898265	0.00920115068507979	0	0	0.020837900080916	0	0	0	0.00243559871075642	0	0.0608899677689104	0.00649492989535044	0	1.02646954554434	0	0.329617692189035	0	0.377788422246217	0	0.00514181950048577	0.00378870910562109	0	0.000811866236918805	0.0289565624501041	0	0.0146135922645385	0	0.00054124415794587	0	0	0	0.00189435455281055	0	0.468717440781124	0	0	0.00649492989535044	0.000270622078972935	0	0	0	0.148571521356141	0.0202966559229701	0	0	0.00811866236918805	0.771002302993892	0.0216497663178348	0.287130025790284	0.0054124415794587	0.283611938763636	0.00108248831589174	0	0.269810212736016	0	0.0386989572931297	0	0	0	0.00162373247383761	0	0	0	0	0.00405933118459403	0	0	0	0	8.7021235714537	0	0	0	0	0	0	0	0	0	0	0	0	3.39333024824163	0.00703617405329631	0	0.812948725234697	0.0143429701855656	0	0.105271988720472	0.110143186141985	0	0.00595368573740457	0	0	0	0	0	0	0	0	0	0.379412154720055	0	0	0	0	0.00243559871075642	0.00054124415794587	0	0.0627843223217209	0.307697303792227	1.56203063983178	0.0132604818696738	0	0.46005753425399	0	0	0.00351808702664816	8.34327869473559	0.00108248831589174	0	0.00703617405329631	0	0	0
ERR2662925	0	0.0183841482681558	0.00517054170041881	0.0126391019343571	1.88609871138611	1.71719434917243	0	1.62872063563193	0.108006871075415	0.00114900926675974	0	0	0.0878992089071198	0	0	0.657807805219949	0	0.00919207413407789	0	2.00444666586236	0	0	0.00344702780027921	0	0	0.590016258481125	0	0.00689405560055842	0	0	0	0	0	0	28.2822885966575	2.56458868340773	0.8703745195705	0.110304889608935	7.43696247910239	0	0	0.39123765533169	0.0114900926675974	0	0	0	0	0.000574504633379868	0.000574504633379868	0	0	0.00402153243365908	0	0.469944790104732	0	0	0	0.250484020153623	0.074111097706003	0.461901725237414	0	0.000574504633379868	0	0	0	0	0	0	0	1.81543464148038	0.0338957733694122	0.0183841482681558	0	0	0	0	0	0	0	0.707215203690618	0	0.484307405939229	0	0	0	7.90173672750671	0.283805288889655	0	0.0488328938372888	0.0677915467388245	0	0	0	0.00631955096717855	0	0	3.61420864859275	0.0017235139001396	0	0	0	0	1.71604533990567	0.0114900926675974	0.0735365930726231	0	0	0	0.0114900926675974	0.00114900926675974	0	0	0	0	0.00746856023393829	0	0	0.753175574361007	0	0.704342680523718	0	0.724450342692014	0	0.184415987314938	0.0178096436347759	0	0	0.415941354567025	0	0	0	0	0	0	0	0.0155116251012564	3.53377799991957	8.23954545193407	0	0	0.013213606567737	0	0	0	0	1.32365867530722	0.0155116251012564	0	0	0.386067113631271	0.273464205488817	0	0.0453858660370096	0	1.58218576032816	0	0.00574504633379868	1.37191706451113	0	0.332063678093564	0	0	0	0.00861756950069802	0	0	0	0.403302252632668	0	0	0	0	0	0.181543464148038	0	0	0	0	0	0	0.00114900926675974	0	0	0.000574504633379868	0	0	0	0.0017235139001396	0	0.842798297168267	0.0183841482681558	0	0	0	0	0.00574504633379868	0	0	0	0	0	0	0	0	0	0.118347954476253	0	0	0.184990491948318	0	0.0241291946019545	0.00229801853351947	0	0.197629593882675	0.644594198652212	0.602655360415482	0	0	0.0637700143051654	0	0	0.013213606567737	10.2669723031316	0	0	0.00804306486731816	0	0	0
