genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
Mailhella	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	0.001
UCG-008	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	0.001
GCA-900066575	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	9e-04
Kytococcus	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermacoccaceae	9e-04
Lachnospiraceae FE2018 group	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	9e-04
Megamonas	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	9e-04
UCG-009	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	9e-04
Defluviitaleaceae UCG-011	Bacteria	Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae	8e-04
Oligella	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	8e-04
Antarcticibacterium	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	7e-04
Gordonibacter	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	7e-04
Caldimonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	6e-04
Helcococcus	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	6e-04
Olsenella	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	6e-04
Phocaeicola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Incertae Sedis	6e-04
UCG-007	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	6e-04
Victivallis	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	6e-04
[Bacteroides] pectinophilus group	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	5e-04
Aquicella	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	5e-04
Citricoccus	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	5e-04
Flavobacterium	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	5e-04
Ndongobacter	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	5e-04
Nosocomiicoccus	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	5e-04
Zag_111	Bacteria	Cyanobacteriota	Vampirivibrionia	Gastranaerophilales	Gastranaerophilaceae	5e-04
[Clostridium] methylpentosum group	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	4e-04
Caldicoprobacter	Bacteria	Bacillota	Clostridia	Caldicoprobacterales	Caldicoprobacteraceae	4e-04
Caproiciproducens	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	4e-04
Oribacterium	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	4e-04
Subdoligranulum	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	4e-04
Anaerofustis	Bacteria	Bacillota	Clostridia	Eubacteriales	Anaerofustaceae	3e-04
Propionibacterium	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	3e-04
Catenibacillus	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	2e-04
Hydrogenoanaerobacterium	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	2e-04
Lacticaseibacillus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	2e-04
Pseudoglutamicibacter	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	2e-04
Robinsoniella	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	2e-04
Shuttleworthia	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	2e-04
Enterobacillus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1e-04
Falsochrobactrum	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	1e-04
Pygmaiobacter	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	1e-04
Aquamonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	0
Faucicola	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	0
Methanosphaera	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	0
