ASV	SRR12968645	SRR12968648	SRR12968651	SRR12968653	SRR12968659	SRR12968660	SRR12968662	SRR12968669	SRR12968673	SRR12968677	SRR12968682	SRR12968690	SRR12968691	SRR12968694	SRR12968696	SRR12968698	SRR12968701	SRR12968702	SRR12968706	SRR12968709	SRR12968710	SRR12968646	SRR12968647	SRR12968649	SRR12968650	SRR12968656	SRR12968658	SRR12968664	SRR12968666	SRR12968668	SRR12968670	SRR12968672	SRR12968674	SRR12968680	SRR12968683	SRR12968684	SRR12968687	SRR12968688	SRR12968689	SRR12968693	SRR12968697	SRR12968699	SRR12968700	SRR12968703	SRR12968704	SRR12968705	SRR12968707	SRR12968708	SRR12968652	SRR12968654	SRR12968655	SRR12968657	SRR12968661	SRR12968663	SRR12968665	SRR12968667	SRR12968671	SRR12968675	SRR12968676	SRR12968678	SRR12968679	SRR12968681	SRR12968685	SRR12968686	SRR12968692	SRR12968695
ASV0019	94	0	191	83	105	121	1568	4	8	7	20	39	80	71	1	0	44	0	73	3	63	264	0	12	0	0	19	1	6	0	0	69	129	5	4	0	94	42	771	37	0	342	2	3741	8	2	10	75	222	0	53	474	74	7	0	0	0	657	210	0	937	5	41	0	2	30
ASV0020	4	12	3	41	9	24	10	243	0	0	3	144	20	60	0	48	4	31	22	2	0	0	0	2	89	3	0	0	7	0	0	142	0	15	0	0	79	95	175	250	22	4	0	86	35	4	0	21	27	0	37	1642	4110	4	0	0	0	46	32	0	0	100	13	41	3	17
ASV0021	20	99	7	58	0	46	0	10	1	1	0	187	28	116	0	11	33	93	0	19	20	15	1	57	26	0	73	0	50	0	0	0	8	1	0	39	2	67	151	435	5	0	0	64	0	63	150	0	9	3	17	194	1178	0	0	0	0	2	147	10	2514	0	90	1366	0	0
ASV0022	9	111	20	0	1	33	4	56	2	3	0	112	31	108	0	7	36	25	0	0	28	7	2	56	55	0	76	0	52	37	0	9	4	9	0	9	1	52	262	413	9	3	0	72	12	4	215	0	0	10	0	64	1988	2	0	0	0	0	191	3	2491	0	108	624	0	1
ASV0023	56	0	59	5	2	0	153	0	0	2	23	630	18	162	0	33	0	41	6	4	0	5	0	36	676	133	15	0	29	74	0	0	0	76	3	0	306	13	551	526	0	10	0	766	50	0	8	0	20	4	19	1511	446	0	94	1	0	127	14	27	24	264	91	233	8	11
ASV0024	12	0	127	77	0	0	0	20	0	0	0	138	51	83	0	20	0	13	14	7	0	2	0	31	154	179	0	0	29	11	0	13	0	44	0	6	424	45	357	513	7	5	0	255	36	11	9	14	20	7	23	2011	1152	0	42	0	0	213	79	20	58	130	6	121	5	0
ASV0025	0	0	184	118	0	0	3532	0	0	0	9	119	0	0	0	0	0	33	0	0	0	0	0	0	49	0	0	0	22	0	0	0	0	0	0	0	0	256	0	0	5	830	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	650	0	18	0	0	0	19	0	0
ASV0026	0	0	0	0	0	710	0	2613	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	1414	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0027	3268	0	0	0	0	10	0	0	20	0	182	0	9	0	0	139	137	0	130	262	0	0	0	0	0	0	0	0	0	0	0	26	0	7	0	0	89	0	632	1	10	0	0	18	0	0	0	12	349	0	0	60	272	0	0	0	0	0	2	0	0	72	0	0	0	8
ASV0028	0	0	49	71	0	0	24	0	0	0	0	71	11	5	0	4	1	3	26	2	0	0	0	25	116	53	0	0	0	0	0	60	2	2	1	1	218	21	41	858	2	3	0	186	2	0	0	4	11	2	17	3058	444	0	27	1	0	18	35	0	25	34	0	108	3	8
ASV0029	0	0	104	33	4	0	8	32	0	0	0	620	8	18	0	0	3	8	40	4	0	14	0	0	130	220	1	0	5	0	0	0	0	6	1	6	136	11	122	682	0	3	3	224	0	73	0	4	19	0	42	2070	763	0	22	0	0	6	7	2	25	0	0	78	1	10
ASV0030	613	0	446	0	0	0	26	0	116	0	10	0	0	0	0	217	0	374	16	0	33	0	0	21	0	0	318	0	649	41	0	292	0	13	21	0	11	146	0	11	0	0	0	0	41	11	538	44	10	0	0	70	0	0	570	0	0	0	0	300	0	127	0	0	0	0
ASV0031	1	0	64	31	0	11	24	117	0	0	0	25	2	17	0	4	3	0	9	2	0	0	0	14	43	47	0	0	0	0	0	42	0	16	0	5	365	59	187	362	6	9	0	139	5	0	7	2	32	1	31	1617	1516	0	19	1	0	12	25	3	7	23	28	24	0	4
ASV0032	3749	116	0	0	0	0	0	0	64	0	11	20	19	58	0	21	1	0	0	76	0	379	0	0	0	2	12	1	2	0	0	1	18	0	0	258	2	0	0	0	1	0	0	1	0	34	0	0	51	0	33	0	0	0	0	0	0	5	7	0	0	0	0	0	0	1
ASV0033	0	0	116	0	0	0	3343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	626	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	553	0	0	0	0	0	0	0	0
ASV0034	79	393	0	0	0	0	0	89	0	0	114	0	0	0	0	943	68	0	0	713	76	154	0	0	0	0	0	0	0	0	0	26	0	58	6	0	116	0	3	18	9	0	0	0	105	402	68	0	0	18	0	0	0	0	269	1	0	0	0	0	7	956	0	0	0	0
ASV0035	99	364	0	0	0	14	0	155	0	0	143	0	0	0	0	677	63	0	0	1044	200	153	0	0	0	0	0	0	22	2	0	6	0	121	22	0	115	0	32	14	6	0	0	0	89	383	105	0	12	16	0	0	0	0	178	0	0	0	0	0	0	590	0	0	0	0
ASV0036	84	128	53	372	0	82	37	254	2	2	151	30	4	30	0	51	14	0	0	80	140	75	0	61	78	12	0	0	0	134	0	33	0	50	12	65	39	60	229	94	16	4	0	58	100	155	77	1	161	17	49	384	214	0	146	1	0	4	57	3	105	51	342	140	0	11
ASV0037	0	0	180	32	24	144	274	68	0	48	0	24	37	0	0	47	182	71	21	8	22	124	0	29	119	95	0	47	104	23	0	39	63	131	29	0	36	193	60	89	0	55	0	133	53	52	15	17	54	9	202	146	22	15	92	0	0	33	171	21	705	66	106	52	137	0
ASV0038	0	0	0	0	0	484	0	1345	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV0039	14	0	8	16	0	29	9	70	0	0	0	49	12	12	0	10	0	7	10	0	0	0	0	15	19	0	0	0	0	0	0	8	0	0	0	3	42	13	162	57	4	3	0	91	1	0	0	6	44	2	0	345	2262	0	0	0	0	59	15	3	0	24	21	17	2	0
ASV0040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1512	1761	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0041	0	0	19	200	0	121	96	221	0	17	11	73	28	34	0	0	0	11	6	0	0	6	0	40	85	0	0	0	0	0	0	0	14	27	0	0	19	0	260	15	6	10	0	587	0	0	0	0	111	0	169	113	866	0	15	0	0	34	0	0	0	0	34	0	0	9
ASV0042	0	0	8	14	0	69	56	0	0	0	25	182	59	11	0	11	4	3	5	18	0	5	0	26	0	0	4	2	64	10	0	15	0	3	0	4	9	5	587	22	11	14	0	109	0	0	0	1	411	0	209	118	1002	0	6	0	0	0	0	0	0	8	70	0	0	0
ASV0043	3	0	113	30	23	111	187	51	0	27	0	25	28	0	0	29	133	34	19	0	31	74	0	28	71	62	2	20	82	14	0	22	36	75	20	0	23	94	46	46	0	63	0	83	47	58	15	0	33	0	148	116	44	0	52	0	0	20	101	19	451	37	73	40	95	19
ASV0044	14	0	0	7	1	0	0	0	0	0	0	28	7	6	0	0	0	0	16	0	0	0	0	0	631	23	0	0	0	0	0	0	0	0	0	0	44	5	0	346	0	0	0	349	0	0	0	0	0	0	0	1193	0	2	0	0	0	39	14	0	15	12	0	279	0	0
ASV0045	0	0	0	218	0	87	0	0	0	0	0	602	6	14	0	157	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	15	0	0	0	0	0	0	0	290	0	10	95	1090	4	0	0	0	0	16	0	18	53	12	0	2	0
ASV0046	6	0	4	41	0	25	1	59	0	0	158	126	249	0	0	26	81	16	2	73	0	40	0	113	0	0	0	0	165	17	0	6	8	3	0	0	11	5	262	0	0	0	0	81	128	0	0	2	416	0	694	26	16	4	0	0	0	3	23	0	4	7	82	0	2	0
ASV0047	0	6	35	78	12	303	0	0	0	0	0	175	166	0	0	5	29	0	2	0	0	21	0	172	434	3	0	1	0	5	0	10	0	9	0	5	71	287	73	4	0	0	0	48	14	0	12	5	32	1	167	0	0	0	20	0	0	0	21	20	49	6	187	287	6	39
ASV0048	0	0	0	0	0	377	0	851	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0049	0	0	0	0	0	344	0	763	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0050	0	0	0	90	3	0	22	0	0	0	0	123	8	107	0	3	1	0	0	0	0	8	0	42	0	12	15	2	1	10	0	0	0	85	0	0	207	1	1108	5	0	0	0	13	0	0	0	0	296	0	6	56	89	0	56	0	0	8	0	0	0	1	77	0	23	2
ASV0051	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	422	34	0	1392	23	0	0	0	0	0	0	0	23	0	61	0	0	0	20	0	0	0	0	25	0	0	0	0	11	0	0	30	4	0	0	0	0	110	0	0	187	0	0	13	0	0
ASV0052	0	0	7	17	0	1773	102	0	0	0	0	30	41	17	2	3	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0	0	0	16	0	0	64	11	36	0	0	16	0	0	6	0	0	0	60	0	73	0	17	4	0	0	0	41	6	0	4	9	0	0	0	0
ASV0053	0	0	0	0	0	389	0	750	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0054	5	0	6	65	13	0	14	0	0	0	0	164	0	126	0	7	0	0	5	0	0	0	0	109	9	0	18	0	3	103	0	9	0	0	0	0	0	0	148	0	6	8	0	0	232	0	41	0	418	0	0	334	254	0	0	0	0	5	0	0	1	0	180	5	1	76
ASV0055	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	508	19	0	0	0	0	0	0	0	0	1492	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0056	0	0	0	0	0	381	0	909	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0057	0	2	6	18	10	31	11	33	0	0	0	15	8	0	0	5	0	0	11	9	0	0	0	0	0	0	0	0	0	0	0	171	0	16	0	0	10	0	77	25	11	0	0	66	3	0	0	0	12	0	0	110	1658	0	2	0	0	3	0	2	0	0	0	14	0	0
