ASV	SRR11426356	SRR11426357	SRR11426369	SRR11426371	SRR11426372	SRR11426373	SRR11426374	SRR11426377	SRR11426379	SRR11426383	SRR11426384	SRR11426385	SRR11426387	SRR11426388	SRR11426391	SRR11426394	SRR11426399	SRR11426402	SRR11426403	SRR11426404	SRR11426407	SRR11426354	SRR11426410	SRR11426412	SRR11426355	SRR11426358	SRR11426359	SRR11426360	SRR11426362	SRR11426363	SRR11426364	SRR11426366	SRR11426367	SRR11426368	SRR11426375	SRR11426380	SRR11426381	SRR11426382	SRR11426392	SRR11426395	SRR11426401	SRR11426405	SRR11426408	SRR11426409	SRR11426413	SRR11426361	SRR11426365	SRR11426370	SRR11426376	SRR11426378	SRR11426386	SRR11426389	SRR11426390	SRR11426393	SRR11426396	SRR11426397	SRR11426398	SRR11426400	SRR11426406	SRR11426411
ASV0024	0	0	0	0	0	6	19	99	2	139	0	43	0	0	17	15	0	0	13	0	0	25	0	0	2	0	28	7	0	0	0	17	5	313	41	0	22	0	24	9	1	0	517	510	5	0	0	27	25	0	0	36	0	0	10	0	0	235	282	8
ASV0025	194	0	0	0	0	0	0	0	0	2081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0026	8	0	0	26	33	0	0	0	0	120	0	9	0	19	0	0	0	0	4	0	12	605	4	0	0	4	19	5	18	9	0	130	6	40	108	228	189	0	12	32	128	0	0	20	4	0	0	0	0	0	0	0	0	16	0	22	0	0	327	87
ASV0027	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	323	112	0	0	81	641	0	0	355	0	0	0	20	0	0	78	0	0	0	0	0	19	0	0	0	0	0	0	0	428
ASV0028	0	0	23	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2032	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ASV0029	24	0	40	0	20	11	8	0	11	0	80	8	70	17	12	4	0	35	0	27	130	30	0	9	0	15	4	0	0	22	183	114	20	31	56	16	41	25	27	0	52	29	347	9	57	0	10	16	56	0	0	70	25	21	58	9	90	41	40	7
ASV0030	0	0	0	112	15	28	6	0	11	0	21	0	42	41	48	0	6	16	16	0	5	29	39	21	18	21	14	19	33	8	233	83	90	67	34	23	0	0	10	49	0	32	126	0	37	13	16	0	80	0	0	72	22	0	41	20	54	137	132	8
ASV0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1721	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0
ASV0032	33	0	0	90	39	7	20	0	11	0	26	23	0	0	43	12	0	0	11	15	11	44	0	42	13	0	0	13	12	6	238	0	75	22	42	0	59	25	18	19	40	56	103	11	134	40	14	0	84	12	0	52	54	0	53	0	24	68	95	0
ASV0033	0	0	0	41	0	0	15	0	17	75	38	0	53	0	0	0	0	0	0	0	123	0	0	0	38	0	0	0	0	0	552	0	0	0	106	0	0	55	0	0	71	31	214	0	48	0	0	0	0	0	0	0	0	9	0	0	0	65	65	0
ASV0034	13	0	0	14	0	26	4	4	16	0	0	0	51	24	0	6	61	27	0	9	0	11	0	4	8	14	4	17	0	0	481	207	12	27	0	0	8	0	21	12	70	11	235	0	0	0	0	0	0	15	0	50	0	8	0	3	0	0	78	0
