ASV	ERR2662893	ERR2662898	ERR2662910	ERR2662911	ERR2662912	ERR2662913	ERR2662914	ERR2662916	ERR2662921	ERR2662925	ERR2662927	ERR2662930	ERR2662932	ERR2662933	ERR2662936	ERR2662937	ERR2662939	ERR2662941	ERR2662945	ERR2662895	ERR2662896	ERR2662897	ERR2662899	ERR2662901	ERR2662902	ERR2662904	ERR2662905	ERR2662906	ERR2662908	ERR2662922	ERR2662924	ERR2662929	ERR2662938	ERR2662940	ERR2662942	ERR2662943	ERR2662944	ERR2662894	ERR2662900	ERR2662903	ERR2662907	ERR2662909	ERR2662915	ERR2662917	ERR2662918	ERR2662919	ERR2662920	ERR2662923	ERR2662926	ERR2662928	ERR2662931	ERR2662934	ERR2662935
ASV0457	0	0	0	585	62	891	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	673	0	0	0	0	0	0	0	0	0	0
ASV0458	164	0	34	5	23	286	26	0	0	0	0	19	0	0	0	55	11	0	0	3	0	0	198	39	1218	45	0	0	27	0	0	0	6	0	0	0	0	192	21	284	0	35	23	0	2	0	0	2	0	0	0	0	0
ASV0459	559	0	0	223	177	193	87	169	0	0	0	0	179	0	0	0	0	0	0	124	0	36	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	78	173	198	127	187	0	0	0	135	0	0
ASV0460	81	0	0	92	145	68	114	16	0	0	0	172	0	0	64	67	152	0	368	59	0	0	0	0	0	0	14	21	0	46	26	43	69	0	0	102	113	222	0	0	64	0	209	72	40	0	0	13	0	39	0	66	151
ASV0461	0	0	0	0	0	0	1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653	0	0	0	0	0	0	0	0	0	0
ASV0462	132	0	45	22	33	16	127	0	0	0	166	0	0	7	0	0	0	0	0	39	20	79	1	8	17	121	0	0	317	0	18	0	0	524	0	0	0	0	3	223	0	612	0	0	0	35	70	57	0	0	0	0	0
ASV0463	162	0	49	53	23	14	15	0	0	0	0	24	0	1	137	284	322	0	0	4	0	0	452	183	1	0	0	0	88	0	0	5	79	0	0	0	0	55	295	0	0	14	75	0	0	0	0	0	0	0	0	209	110
ASV0464	0	0	0	0	0	0	0	0	0	659	738	0	26	0	0	0	0	362	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	282	0	0	88	0	0	0	0	293	0	0	0	175
ASV0465	31	0	0	0	0	0	0	38	9	0	0	5	202	334	0	23	0	22	0	4	6	24	73	75	302	56	0	0	4	390	364	0	0	51	8	3	31	24	31	47	0	0	0	16	44	40	39	71	0	0	278	0	0
ASV0466	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743	964	0	0	0	0	0	0	0	0	0	0	0	23	1	0	0	0	464	0	0	0	0	0
ASV0467	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	239	0	0	0	120	2124	0	0	0	0	0	0	44	0	18	0	0	4	0	0	0	0	71	0	0	0	0	0
ASV0468	0	36	32	0	0	0	4	0	118	86	39	1	130	209	2	0	0	0	2	0	167	245	0	0	232	248	89	69	67	0	0	0	0	0	0	2	0	0	0	261	107	105	6	0	0	32	89	0	72	0	176	0	0
ASV0469	0	0	361	0	0	0	0	0	0	0	0	138	0	0	0	146	0	781	0	0	0	0	0	0	0	0	0	0	243	4	10	9	114	311	99	113	53	0	0	0	0	219	0	0	0	0	0	0	0	22	0	0	0
ASV0470	0	0	0	409	347	288	0	0	157	0	0	0	0	0	0	0	0	50	0	0	183	292	0	0	25	0	0	0	0	0	0	0	0	247	165	0	0	0	0	0	0	0	0	0	0	186	263	0	0	0	0	0	0
ASV0471	0	0	0	0	0	0	0	93	0	0	0	0	1199	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	16	0	0	0	0	0	1081	0	0
ASV0472	1780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0473	0	0	0	1691	886	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0474	6	0	39	42	53	35	19	50	0	208	47	0	69	16	0	0	0	0	404	37	0	0	0	0	0	0	0	0	0	54	47	0	0	55	0	218	275	17	0	0	0	79	69	27	17	37	44	0	426	0	198	0	0
ASV0475	0	0	0	0	0	160	0	0	0	38	0	0	96	200	0	0	0	10	0	0	0	0	0	0	101	376	0	0	177	0	141	0	0	29	0	0	0	0	0	1094	0	0	0	0	114	0	0	0	15	0	37	0	0
ASV0476	0	0	0	0	0	0	0	0	0	2516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV0477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2583
ASV0478	178	0	0	0	0	0	19	7	0	315	151	0	41	16	698	0	0	0	0	23	0	0	236	3	0	0	61	10	0	77	83	0	0	80	39	0	0	31	8	0	0	0	6	111	81	0	0	0	138	0	0	102	50
ASV0479	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1271	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0480	0	0	0	931	924	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0482	0	0	258	64	110	45	93	390	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	229	0	0	40	0	0	0	0	0	0	0	0	0	267	535	0	379	0	0	0	0	0	0	0	0
ASV0483	0	0	0	0	0	0	0	0	75	0	25	391	75	115	0	0	0	0	0	0	14	43	35	73	0	270	0	0	6	44	56	0	0	2	0	0	0	0	34	224	0	16	0	0	0	475	380	0	87	0	102	0	0
ASV0484	0	147	0	52	30	49	13	76	0	0	0	388	0	0	81	0	0	0	0	259	172	145	0	0	12	194	236	73	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	74	80	0	0	0	0	169	0	127	0
ASV0485	4	0	0	922	157	1337	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0	0	0
ASV0486	0	0	0	0	2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0487	0	0	0	0	0	0	0	0	409	0	342	0	0	0	0	0	0	44	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	168	290	0	0	0	0	0	0	0	29	325	530	0	0	0	0	0	0
ASV0488	0	62	0	0	0	0	0	2	100	0	24	2	274	443	0	9	5	0	0	0	63	120	346	315	24	0	0	0	4	5	0	0	0	0	0	0	0	0	221	28	0	8	0	0	0	76	75	0	20	0	232	0	0
ASV0489	83	0	0	186	129	23	229	0	0	0	0	0	0	0	0	478	257	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	0	290	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0
ASV0490	0	105	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0491	0	0	0	1253	981	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	0	0	0	0	104	188	0	0	0	0	235	232	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0
ASV0493	0	0	0	0	0	0	0	0	0	0	693	0	0	0	0	0	0	0	0	0	0	0	625	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	371	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	828	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0
ASV0495	0	0	0	0	0	907	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0	0	56	518	0	0	0	0	0	0	0	18	0	0	0	0	0	0	34	143	0	0	0	0	94	5	0	0	0	0	0	0	83
ASV0496	696	0	0	0	0	0	0	0	0	0	0	15	194	148	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	833	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0
ASV0497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0500	0	0	80	0	0	0	0	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	56	78	0	0	0	0	0	0	0	0	0	0	46	0	506	648	0	0	30	0	0	0	0	0
ASV0501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
