ASV	SRR26945182	SRR26945183	SRR26945184	SRR26945187	SRR26945189	SRR26945193	SRR26945198	SRR26945202	SRR26945212	SRR26945214	SRR26945217	SRR26945218	SRR26945220	SRR26945225	SRR26945261	SRR26945262	SRR26945280	SRR26945284	SRR26945285	SRR26945288	SRR26945295	SRR26945297	SRR26945298	SRR26945300	SRR26945303	SRR26945306	SRR26945310	SRR26945312	SRR26945319	SRR26945320	SRR26945322	SRR26945324	SRR26945327	SRR26945328	SRR26945386	SRR26945387	SRR26945392	SRR26945394	SRR26945403	SRR26945405	SRR26945409	SRR26945411	SRR26945415	SRR26945419	SRR26945422	SRR26945423	SRR26945424	SRR26945185	SRR26945425	SRR26945191	SRR26945426	SRR26945194	SRR26945433	SRR26945195	SRR26945196	SRR26945436	SRR26945199	SRR26945200	SRR26945437	SRR26945201	SRR26945441	SRR26945203	SRR26945442	SRR26945204	SRR26945446	SRR26945206	SRR26945447	SRR26945449	SRR26945207	SRR26945209	SRR26945210	SRR26945211	SRR26945219	SRR26945222	SRR26945260	SRR26945264	SRR26945281	SRR26945289	SRR26945291	SRR26945293	SRR26945301	SRR26945304	SRR26945305	SRR26945521	SRR26945307	SRR26945522	SRR26945308	SRR26945316	SRR26945523	SRR26945318	SRR26945323	SRR26945526	SRR26945527	SRR26945530	SRR26945533	SRR26945534	SRR26945537	SRR26945538	SRR26945539	SRR26945540	SRR26945543	SRR26945544	SRR26945545	SRR26945546	SRR26945388	SRR26945389	SRR26945393	SRR26945396	SRR26945397	SRR26945399	SRR26945401	SRR26945404	SRR26945406	SRR26945407	SRR26945416	SRR26945418	SRR26945421	SRR26945429	SRR26945435	SRR26945438	SRR26945440	SRR26945443	SRR26945445	SRR26945517	SRR26945518	SRR26945520	SRR26945525	SRR26945528	SRR26945541	SRR26945542	SRR26945548	SRR26945181	SRR26945186	SRR26945188	SRR26945192	SRR26945197	SRR26945208	SRR26945213	SRR26945215	SRR26945221	SRR26945223	SRR26945224	SRR26945226	SRR26945263	SRR26945282	SRR26945283	SRR26945286	SRR26945290	SRR26945292	SRR26945294	SRR26945296	SRR26945299	SRR26945309	SRR26945311	SRR26945314	SRR26945315	SRR26945317	SRR26945321	SRR26945325	SRR26945326	SRR26945385	SRR26945390	SRR26945395	SRR26945398	SRR26945400	SRR26945408	SRR26945410	SRR26945412	SRR26945414	SRR26945420	SRR26945427	SRR26945430	SRR26945431	SRR26945432	SRR26945434	SRR26945444	SRR26945448	SRR26945519	SRR26945529	SRR26945531	SRR26945532
ASV0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5869	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	0	0	0	0	0	0	0	0	0	0	1674	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	638	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0012	0	0	0	0	15	103	48	125	404	0	0	228	117	268	0	350	39	0	75	0	0	85	0	0	0	136	61	0	245	0	73	0	0	64	0	0	100	0	0	0	72	0	0	0	0	275	0	0	435	106	232	0	138	0	0	0	20	0	145	120	0	0	96	0	0	0	0	0	0	0	0	167	0	85	261	0	78	0	58	0	175	0	295	0	0	136	27	86	0	77	0	0	61	64	268	165	59	0	67	43	43	0	141	53	0	69	0	0	120	58	0	0	0	0	0	45	252	250	0	0	155	144	0	0	0	101	0	81	89	0	77	0	0	0	0	36	0	0	0	0	0	115	0	85	0	96	0	46	0	269	0	0	139	0	296	0	0	0	0	358	37	0	0	89	335	102	0	0	178	94	0	37	290	197	83	174	0	0	103	90	0
ASV0013	0	0	0	0	0	75	0	55	697	0	0	0	0	0	0	0	36	0	0	0	212	59	67	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	123	0	0	0	0	0	0	0	0	0	0	323	0	1819	138	0	0	0	0	0	0	381	0	0	0	0	0	259	0	676	286	311	0	169	0	0	0	0	0	0	0	0	0	37	0	0	0	0	32	0	0	0	0	69	0	28	31	0	0	0	617	0	0	78	0	0	0	0	127	61	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	142	108	90	395	56	43	0	0	0	316	629	0	0	199	0	244	223	0	0	0	0	0	0	390	0	165	0	0	0	0	0	0	0	0	0	141	0	0	62	99	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0
ASV0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	949	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	139	0	0	0	177	0	0	0	0	27	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	992	0	0	0	150	0	0	130	0	0	0	0	0	0	0	1019	0	0	0	0	897	0	0	0	0	0	696	125	0	0	0	0	690	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	0	0	0	0	0	0
ASV0015	7	312	26	0	0	408	29	0	0	0	0	0	0	0	0	353	298	0	18	0	0	0	0	0	156	0	0	0	0	0	0	85	0	0	129	0	28	31	0	19	109	23	0	200	507	0	0	77	0	0	0	45	99	118	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	130	0	0	74	0	52	356	0	0	159	0	56	0	0	108	141	109	0	0	0	19	16	0	0	0	0	0	198	184	0	0	41	0	0	227	0	1294	0	102	0	0	0	105	0	0	0	138	24	0	0	0	585	0	0	73	0	0	0	181	0	0	0	35	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	38	60	256	475	48	0	51	45	0	145	0	34	130	0	311	0	0	81	34	5
ASV0016	0	0	152	0	0	117	0	0	0	0	0	0	0	0	199	181	0	0	0	0	0	282	0	169	0	0	0	0	556	0	0	0	0	0	87	43	0	0	0	54	0	0	0	56	0	0	0	19	0	0	0	0	0	0	26	0	0	0	0	336	0	0	0	0	0	0	0	0	0	276	238	0	0	0	0	537	60	34	0	0	181	0	0	0	122	0	321	0	19	0	0	0	37	0	43	0	0	78	209	0	521	0	65	327	0	64	0	0	269	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	110	77	92	0	561	125	0	92	0	0	0	183	0	0	0	0	0	0	301	0	0	0	94	0	0	0	0	0	0	0	0	261	0	99	114	34	0	0	0	0	95	0	33	10	59	267	0	0	0	361	0	0	115	0	0	0
ASV0017	0	0	0	579	155	0	0	0	0	0	0	0	53	0	0	100	40	0	0	26	0	441	67	138	0	0	0	0	0	0	0	0	0	0	0	0	18	47	0	0	31	0	0	0	0	0	0	33	0	316	0	128	0	0	128	0	0	0	0	141	0	0	0	371	0	0	0	940	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	399	0	29	152	16	63	0	0	0	41	25	103	0	0	20	7	109	0	3	29	23	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	29	0	40	58	0	0	0	54	257	126	0	0	839	153	0	0	0	0	0	0	0	0	0	120	0	0	0	0	83	46	0	100	0	0	0	33	0	11	35	448	11	0	0	0	0	0	0	0	220	0	0	0	0	90	50
ASV0018	0	0	0	0	0	0	1268	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	17	0	54	0	2778	474	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	111	0	0	0	0	226	0	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	116	0	438	0	444	0	0	0	0	0	0	46	0	0	0	0	0	0	292	43	200	0	0	0	0	0	0	0	0
ASV0019	0	0	0	0	0	0	1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3981	532	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	104	0	0	0	0	0	0	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	789	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0020	141	125	127	3	0	120	0	0	0	0	97	0	0	68	122	116	13	0	3	12	0	83	0	99	77	54	58	132	97	97	115	102	104	95	10	13	10	12	9	6	12	10	9	79	87	120	102	102	69	0	79	4	89	79	0	98	8	0	122	0	84	3	98	72	71	0	111	5	27	2	91	0	0	91	101	88	23	10	4	1	3	130	14	17	107	7	97	1	6	90	109	10	4	2	3	3	3	21	4	8	3	3	12	7	5	7	7	5	7	0	10	9	7	7	14	35	78	50	89	74	99	75	104	8	8	3	12	3	12	4	7	111	137	0	0	8	66	180	98	121	80	90	5	110	23	4	7	10	44	0	0	50	74	102	121	77	44	118	129	132	8	0	19	4	0	4	11	9	7	88	30	0	134	108	125	104	67	16	5	0	10
