ASV	ERR12050113	ERR12050114	ERR12050115	ERR12050116	ERR12050119	ERR12050128	ERR12050131	ERR12050137	ERR12050138	ERR12050140	ERR12050143	ERR12050146	ERR12050147	ERR12050150	ERR12050152	ERR12050153	ERR12050154	ERR12050158	ERR12050161	ERR12050164	ERR12050166	ERR12050179	ERR12050181	ERR12050184	ERR12050186	ERR12050194	ERR12050196	ERR12050197	ERR12050198	ERR12050199	ERR12050200	ERR12050201	ERR12050208	ERR12050211	ERR12050213	ERR12050216	ERR12050218	ERR12050220	ERR12050112	ERR12050120	ERR12050121	ERR12050122	ERR12050125	ERR12050126	ERR12050129	ERR12050132	ERR12050136	ERR12050142	ERR12050144	ERR12050145	ERR12050148	ERR12050155	ERR12050159	ERR12050162	ERR12050167	ERR12050168	ERR12050169	ERR12050170	ERR12050171	ERR12050175	ERR12050176	ERR12050177	ERR12050180	ERR12050183	ERR12050189	ERR12050193	ERR12050204	ERR12050205	ERR12050207	ERR12050210	ERR12050212	ERR12050222	ERR12050117	ERR12050118	ERR12050123	ERR12050124	ERR12050127	ERR12050130	ERR12050133	ERR12050134	ERR12050135	ERR12050139	ERR12050141	ERR12050149	ERR12050151	ERR12050156	ERR12050157	ERR12050160	ERR12050163	ERR12050165	ERR12050172	ERR12050173	ERR12050174	ERR12050178	ERR12050182	ERR12050185	ERR12050187	ERR12050188	ERR12050190	ERR12050191	ERR12050192	ERR12050195	ERR12050202	ERR12050203	ERR12050206	ERR12050209	ERR12050214	ERR12050215	ERR12050217	ERR12050219	ERR12050221
ASV0011	0	0	0	0	0	0	15	0	0	0	0	2146	4255	5	0	0	0	0	0	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	57	58	0	0	0	0	0	9	0	656	16	0	0	0	0	2455	0	0	0	0	0	0	77	0	0	0	0	27	0	0	0	0	0	64	19	0	0	0	0	0	1	0	223	0	0	0	0	9	0	0	0	0	0	0	0	0	0	490	37	0	0
ASV0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	23	0	0	0	7725	0	0	0	0	0	0	0	0	0	0	78	0	0	0	37	0	0	0	0	42	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0013	58	0	0	0	20	0	0	3	177	42	131	6	0	0	275	244	0	29	0	0	0	19	0	149	40	705	0	0	0	0	73	0	0	0	0	365	0	0	34	0	1	0	0	0	0	201	0	60	0	13	23	0	44	67	0	16	227	44	67	0	249	34	48	75	187	173	21	0	133	0	106	29	0	0	0	0	0	0	83	0	0	493	0	63	0	229	21	0	159	0	0	0	15	683	0	44	204	0	134	30	30	651	109	0	28	980	0	0	24	0	177
ASV0014	0	0	0	0	0	0	68	35	213	0	199	21	4	0	0	0	51	16	0	0	6	168	0	20	86	214	0	59	57	382	23	3	142	320	36	0	0	0	26	0	0	0	0	0	0	49	275	64	96	0	0	12	0	31	26	148	72	88	8	32	0	0	0	513	122	1226	0	0	0	166	194	0	0	0	1	0	0	159	75	112	37	287	0	0	0	532	79	0	246	18	8	0	72	301	61	0	293	12	0	0	0	43	75	0	20	263	0	5	239	86	0
ASV0015	0	5	1	0	0	0	0	81	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2849	4932	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0016	209	0	0	0	0	0	0	64	44	776	0	5	21	0	153	18	0	20	0	0	0	62	90	22	0	671	0	0	192	69	36	17	0	1	0	72	135	0	196	0	0	0	0	0	0	45	11	100	29	45	231	0	1	38	0	36	64	0	0	18	107	0	155	18	57	59	0	0	0	0	89	0	1	0	2	0	185	0	11	21	49	45	1251	693	18	189	20	55	94	0	4	0	26	399	0	0	116	0	0	238	238	216	0	126	42	0	21	69	0	0	0
ASV0017	0	0	0	0	0	0	5	0	0	0	0	1378	2508	1	0	0	0	0	0	0	0	0	0	46	4	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	6	0	0	13	0	801	10	0	0	0	0	1853	0	0	0	0	108	0	0	0	0	0	0	37	0	0	0	0	0	0	23	0	0	0	0	0	0	0	511	0	0	23	0	10	0	0	0	0	0	0	0	4	0	221	0	0	0
ASV0018	32	0	0	0	3	0	0	0	5	556	0	7	2	718	0	16	0	55	2	40	38	0	71	11	0	8	0	0	201	3	0	0	0	0	6	0	0	0	224	0	0	0	0	232	0	67	2	437	94	48	35	28	0	1	0	33	13	0	0	0	32	29	23	0	64	65	0	0	92	0	90	0	0	0	210	0	138	0	0	50	82	0	65	11	1805	191	15	0	0	0	0	0	0	0	0	50	0	26	0	0	0	0	0	71	0	14	44	0	83	0	0
ASV0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5169	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0020	49	112	48	239	169	0	0	0	78	0	59	29	59	24	0	84	151	217	32	66	0	0	78	18	0	128	0	0	0	18	5	0	0	97	64	0	128	171	39	0	0	0	0	0	0	13	0	89	0	0	17	239	84	32	15	275	43	33	12	12	53	0	26	42	0	212	0	0	0	0	0	0	545	0	0	0	249	0	0	70	39	42	0	0	142	92	18	0	1	182	0	157	12	0	1	0	67	3	0	0	0	22	0	0	507	0	38	0	38	0	0
