ASV	SRR31465417	SRR31465420	SRR31465418	SRR31465422	SRR31465423	SRR31465425	SRR31465427	SRR31465419	SRR31465429	SRR31465428	SRR31465432	SRR31465436	SRR31465434	SRR31465437	SRR31465442	SRR31465439	SRR31465453	SRR31465454	SRR31465441	SRR31465455	SRR31465443	SRR31465461	SRR31465446	SRR31465462	SRR31465463	SRR31465465	SRR31465468	SRR31465447	SRR31465470	SRR31465451	SRR31465472	SRR31465464	SRR31465473	SRR31465466	SRR31465475	SRR31465467	SRR31465469	SRR31465477	SRR31465476	SRR31465478	SRR31465481	SRR31465479	SRR31465485	SRR31465486	SRR31465480	SRR31465490	SRR31465494	SRR31465482	SRR31465495	SRR31465483	SRR31465504	SRR31465508	SRR31465487	SRR31465491	SRR31465496	SRR31465499	SRR31465501	SRR31465503	SRR31465505	SRR31465506	SRR31465507	SRR31465416	SRR31465421	SRR31465424	SRR31465426	SRR31465430	SRR31465431	SRR31465433	SRR31465435	SRR31465438	SRR31465440	SRR31465444	SRR31465445	SRR31465448	SRR31465449	SRR31465450	SRR31465452	SRR31465456	SRR31465457	SRR31465458	SRR31465459	SRR31465460	SRR31465471	SRR31465474	SRR31465484	SRR31465488	SRR31465489	SRR31465492	SRR31465493	SRR31465497	SRR31465498	SRR31465500	SRR31465502
ASV0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965	0	0	1753	905	1930	0	0	1289	21	0	0	0	771	2083	0	1142	1303	0	0	0	428	2	0	0	0	0	0	0	0	2466	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2588	0	704	798	0	1214	0	0	4718	1398	578	0	2521	0	0	0	0	0	0	0	0	0	0	0
ASV0023	0	0	2639	2948	0	0	0	631	42	101	0	755	0	0	0	0	0	688	537	0	745	0	0	0	0	0	0	0	0	0	0	0	0	0	2080	0	0	1177	395	17	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	2888	346	0	2148	16	0	0	2960	134	0	0	75	0	0	0	645	0	0	0	2753	249	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0
ASV0024	0	0	0	0	0	0	1	0	4	3	9325	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3519	0	0	0	0	0	0	0	1843	3389	0	0	0	0	0	0	0	0	0	164	4414	0	0	2	0	0	0	188	0	0	0	0	0	0	0	0	0	1	0	0	1582	64	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0
ASV0025	0	0	0	0	822	0	0	0	0	2	0	0	0	0	0	0	22	1889	0	2018	0	0	5564	0	53	0	0	557	0	0	0	0	19	0	664	0	0	8	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354	3128	6	0	3068	77	2031	643	0	0	0	0	0	0	0	0	0	0	0	0
ASV0026	9953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0027	0	0	0	0	0	0	0	15756	0	0	0	0	0	0	1	0	338	0	0	1211	0	1692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1640	0	0	17628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
ASV0029	2435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	62	0	37	0	0	245	0	0	0	0	0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	15760	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1591	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	195	631	77	0	52	1129	0	0	0	875	2398	727	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1735	0	0	0	0	0	0	0	0	0	0	0	0	1173	215	0	3812	1317	0	1310	345
ASV0031	0	0	0	0	1808	0	0	0	0	0	0	0	2	0	13	0	0	0	0	0	0	2482	0	0	1911	0	0	1050	0	0	0	0	861	0	2884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	625	969	0	0	0	0	0	0	1041	0	739	0	0	0	0	0	0	0	0	0	0
ASV0032	0	0	1174	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4023	0	0	0	0	0	0	0	904	698	0	0	0	3	0	0	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	0	0	0	2062	0	0	0	0	0	0	0	0	0	0	1372	0	834	0	0	0	0	0	2677	0	596	1055	0	0	0	0	0	0	0	0	0	0	0	0
ASV0033	0	0	0	0	594	0	0	0	0	0	0	0	0	0	14	2	0	939	0	557	0	835	0	0	0	0	0	0	0	0	1764	0	887	1267	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1120	0	0	0	0	0	0	0	0	0	0	1992	0	0	514	0	0	657	0	0	3009	0	754	0	1735	0	0	0	0	0	0	0	0	0	0
ASV0034	0	0	0	0	0	0	0	605	0	0	0	0	0	1080	0	0	0	0	0	1619	3	0	0	0	0	0	0	0	4297	0	0	1204	0	1455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1884	0	0	0	0	0	0	0	0	0	0	0	2041	0	656	0	0	0	0	0	0	0	1761	0	0	0	0	0	0	0	0	0	0	0	0
ASV0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	0	0	142	325	530	71	0	2958	173	0	0	0	141	1950	680	1361	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	592	0	273	166	2698	1858	760
ASV0036	0	0	0	0	0	0	0	0	0	0	0	16544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0037	6816	2748	3916	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	5	101	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	474	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0038	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1335	0	0	0	0	0	810	3495	1197	0	0	0	0	0	1637	0	0	0	176	0	0	0	0	0	0	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	1448	0	0	0	0	0	0	0	0	0
ASV0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	894	2	0	0	0	0	0	0	791	0	0	298	4722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	1572	0	0	0	356	0	1046	0	0	0	850	0	0	0	0	0	0	0	0	0
ASV0040	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	707	76	0	0	0	0	5662	0	136	919	466	454	78	0	359	0	0	0	57	0	13	0	765	0	303	0	0	0	0	0	0	0	1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	1651	0	0	18	279	0	0	0	59	65
ASV0041	0	0	4936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	357	0	557	0	52	0	0	0	0	245	1487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3701	584	226	226	0	1376	0	0
ASV0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	1001	18	8	0	0	143	0	0	0	262	22	77	9	582	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	334	5480	121	5	39	1346	176
ASV0043	0	12932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	2409	2360	0	0	0	3417	0	0	0	135	0	291	0	888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725	29	0	0	5	987	523	0
ASV0045	0	0	0	0	0	0	0	0	0	6055	2174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	2853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0046	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	47	0	7	45	1712	0	112	0	1903	0	0	0	0	49	0	461	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	22	398	487	1010	1847	2663	98	0
ASV0048	0	0	0	0	0	0	0	0	0	0	10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	145	0	80	0	83	2	0	0	0	16	1658	220	6421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	78	916	141	425
ASV0050	1344	0	0	0	0	0	0	0	0	63	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5429	0	0	0	0	0	0	0	0	0	2897	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0
ASV0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9602	0	0	40	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	1	0
ASV0052	3646	0	0	0	0	0	2818	0	0	0	0	0	0	0	0	0	0	0	0	1	0	624	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	0	0	0	0	0	0	0	0	0	0	0	0	0	1894	0	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0053	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3742	0	0	0	0	619	0	0	1784	0	1638	0	0	0	0	0	0	0	0	0	0	0	0
