ASV	SRR17243429	SRR17243431	SRR17243432	SRR17243436	SRR17243437	SRR17243439	SRR17243442	SRR17243446	SRR17243450	SRR17243451	SRR17243453	SRR17243455	SRR17243457	SRR17243461	SRR17243463	SRR17243473	SRR17243479	SRR17243480	SRR17243481	SRR17243486	SRR17243488	SRR17243489	SRR17243490	SRR17243491	SRR17243492	SRR17243493	SRR17243495	SRR17243496	SRR17243497	SRR17243509	SRR17243510	SRR17243513	SRR17243519	SRR17243522	SRR17243523	SRR17243524	SRR17243527	SRR17243531	SRR17243532	SRR17243535	SRR17243433	SRR17243537	SRR17243541	SRR17243435	SRR17243547	SRR17243441	SRR17243447	SRR17243553	SRR17243448	SRR17243555	SRR17243565	SRR17243449	SRR17243568	SRR17243581	SRR17243458	SRR17243592	SRR17243459	SRR17243594	SRR17243595	SRR17243460	SRR17243596	SRR17243597	SRR17243465	SRR17243599	SRR17243467	SRR17243602	SRR17243468	SRR17243603	SRR17243469	SRR17243608	SRR17243470	SRR17243610	SRR17243471	SRR17243475	SRR17243476	SRR17243498	SRR17243499	SRR17243502	SRR17243503	SRR17243504	SRR17243505	SRR17243506	SRR17243507	SRR17243508	SRR17243511	SRR17243512	SRR17243515	SRR17243518	SRR17243521	SRR17243525	SRR17243529	SRR17243530	SRR17243533	SRR17243536	SRR17243538	SRR17243539	SRR17243540	SRR17243542	SRR17243544	SRR17243548	SRR17243552	SRR17243554	SRR17243558	SRR17243562	SRR17243574	SRR17243575	SRR17243576	SRR17243579	SRR17243580	SRR17243582	SRR17243586	SRR17243589	SRR17243591	SRR17243593	SRR17243598	SRR17243607	SRR17243609	SRR17243612	SRR17243613	SRR17243430	SRR17243434	SRR17243438	SRR17243440	SRR17243443	SRR17243444	SRR17243445	SRR17243452	SRR17243454	SRR17243456	SRR17243462	SRR17243464	SRR17243466	SRR17243472	SRR17243474	SRR17243477	SRR17243478	SRR17243482	SRR17243483	SRR17243484	SRR17243485	SRR17243487	SRR17243494	SRR17243500	SRR17243501	SRR17243514	SRR17243516	SRR17243517	SRR17243520	SRR17243526	SRR17243528	SRR17243534	SRR17243543	SRR17243545	SRR17243546	SRR17243549	SRR17243550	SRR17243551	SRR17243556	SRR17243557	SRR17243559	SRR17243560	SRR17243561	SRR17243563	SRR17243564	SRR17243566	SRR17243567	SRR17243569	SRR17243570	SRR17243571	SRR17243572	SRR17243573	SRR17243577	SRR17243578	SRR17243583	SRR17243584	SRR17243585	SRR17243587	SRR17243588	SRR17243590	SRR17243600	SRR17243601	SRR17243604	SRR17243605	SRR17243606	SRR17243611	SRR17243614	SRR17243615
ASV0011	3287	11	0	17	262	69	5	655	4355	1482	5710	1604	6	63	261	17	65	0	138	32	474	10	2711	87	5	51	0	8	0	0	32	81	10	17	8	118	128	1223	1377	35	459	159	15	290	443	142	91	3251	26	4965	665	150	233	4	0	16362	0	330	68	0	399	1465	15	790	0	483	0	385	6	778	191	8180	87	2	0	0	2	2	0	3	33	125	225	7	13	94	57	162	47	52	25	6	20	0	7	105	208	16	29	48	591	312	390	1623	214	75	0	364	0	14	324	46	103	12202	877	1205	272	3300	32	161	15058	30	32	325	10017	10	44	5	2	4	2	0	191	0	0	5	206	0	91	11	0	0	0	11	11	96	51	11	68	810	24	177	0	106	2094	299	471	1359	5364	0	1425	48	2792	1	9	64	102	287	36	17	0	3	31	2	150	3	1	1077	4542	675	3968	190	617	2260	168	834	1146
ASV0012	6418	235	3	17	0	0	1	3	0	1	0	0	0	2171	0	0	0	1	89	0	18	0	2	16	0	0	0	2	6	4	12	19	17	21	7	4	44	3	3	35	98	1	197	0	11	35	0	6	0	12	10392	18	2727	0	11	0	0	3	1	157	23	0	2	3	5	22	12	0	17	17	0	5631	0	0	0	199	318	1232	5	11438	18	22544	0	247	106	633	7	5	41	22	685	0	6	0	27	57	9	9	8	25	73	1	29	737	38	77	6	1	26	58	145	178	13	23	11	1362	13	17	18	104	3	6	10	7048	0	0	0	337	0	65	107	223	0	0	1	0	0	0	1	0	1	0	305	2	0	5	142	0	444	7	4	368	0	1156	9	63	25	792	263	22	5	74	24104	148	87	56	28	1	9	3316	63	33	15	113	447	88	49	140	0	0	62	41	1	40	12	9819	0
ASV0013	118	87	62	373	0	265	0	542	0	31	19	906	0	121	33	36	0	110	148	192	0	66	0	0	0	0	3	23	913	0	0	28	0	0	0	19	24	0	0	17	97	0	13	0	0	0	0	22	0	70	81	20	0	0	0	0	0	0	7	13391	0	0	0	139	0	17	0	12	10	0	6045	23	77	260	0	19	0	56	3118	0	50	0	0	13488	258	0	16	11	0	14	0	0	0	0	0	199	0	0	0	21	0	0	111	0	13	0	0	0	0	62	98	0	0	0	0	21	8	0	50	135	0	0	27	0	0	0	2321	0	0	93	141	0	26	49	210	0	247	9372	178	9853	1875	0	0	0	205	0	0	0	385	0	0	127	0	0	0	0	459	14705	143	0	89	208	23	16348	98	0	0	20	0	0	0	21	0	10860	81	71	452	0	0	0	0	0	0	0	0	0	0
ASV0014	2	0	156	0	1	0	8	399	278	129	297	78	0	0	3	0	1272	56	51	26	122	21	142	344	20	215	6719	1427	0	0	0	0	0	0	0	0	0	480	157	249	0	48	34	0	2698	0	21	0	27	0	2	97	0	0	0	1012	1	5	32	0	139	429	0	181	0	19895	0	251	0	2401	0	1532	0	11	6	2314	210	92	205	5	45	0	641	0	0	0	3	0	0	821	15	15	24	0	13	20	304	40	58	47	0	0	0	0	50	371	61	0	14	0	7	54	24375	1555	245	256	297	1182	774	0	0	0	0	7	210	0	0	530	0	0	4	0	0	0	2	12	57	5	47	87	45	671	41	52	26	0	0	0	0	4861	116	31	0	41	1271	350	258	30	0	6688	6	0	1	0	0	0	6	18	184	20	33	63	0	0	0	0	0	193	45	973	664	162	31	227	256	65	12901
ASV0015	0	152	0	53	3591	69	118	3045	0	14	13	24	20	0	379	26	135	235	0	258	0	4	4005	4926	27	334	163	196	609	55	17	69	0	1629	36	277	45	0	0	93	245	533	0	2489	3334	0	1967	7793	104	0	0	25	138	35	51	0	49	40	1330	88	0	370	35	74	6	615	66	0	254	48	45	0	4296	0	14	59	0	0	231	0	25	0	0	0	2397	0	52	0	74	0	141	32	0	0	41	41	0	0	0	0	33	82	17	27	151	0	0	4903	510	0	521	2224	3781	0	0	27	29	987	123	0	95	87	312	0	2551	3341	0	0	473	0	1304	0	24	49	957	216	47	33	116	258	0	417	0	108	0	7	10	0	94	49	26	109	0	0	98	32	58	124	31	64	2167	0	80	0	10	164	10	4653	0	4	343	0	50	23	13	55	0	28	0	466	5	92	84	6216	84	0	35
ASV0016	326	58	46	82	49	21	16	534	13	35	37	1024	353	17	101	201	240	267	106	189	213	56	19	126	398	2418	421	1038	581	328	46	137	160	1736	159	51	97	2547	190	446	76	146	263	51	178	71	344	66	103	367	86	91	255	519	178	389	77	98	377	1502	42	181	1672	445	114	275	984	160	72	618	223	575	416	71	187	1855	955	261	924	328	628	1408	304	101	182	118	1106	230	119	65	80	104	3099	69	94	352	427	869	60	44	138	737	672	343	264	22185	70	43	105	1181	280	104	40	156	145	22	28	346	294	376	46	54	141	41	116	236	23	87	33	89	158	93	339	123	732	128	84	40	76	1434	28	969	97	0	0	288	24	19	107	827	298	227	3	62	625	28	356	921	1120	157	771	1051	840	24	566	67	62	141	38	112	90	176	267	296	489	63	725	63	41	63	288	23	44	29	72	1126	270
ASV0017	59	57	10	0	0	14	0	21	0	2	0	0	64	454	0	2	111	40	22	151	115	0	34	37	21	27	30	95	61	11	13	520	15	45	12	26	154	0	0	121	31	53	74	3	130	18	0	35	21	21	163	13	1487	3	2	2	0	0	4	10	0	10	29	19	1	51	10	79	0	44	0	146	34	14	0	3425	3590	382	24	93	503	833	0	23	53	87	14	44	96	497	100	4	0	6	312	656	61	131	141	202	100	164	155	52	0	301	4	73	3	98	155	440	4	0	307	11918	41	93	22	10	78	2	30	655	6	5	11	80	3	279	56	0	2	0	10	0	43	98	212	126	57	14	47	2	0	11	377	21	1841	17	0	9227	0	13812	59	513	170	143	4497	53	325	40	446	8	9	215	9	23	118	91	0	99	108	71	5835	37	22	112	0	13	475	1450	16	343	347	241	65
ASV0018	0	112	1	7	5	10	0	0	10	0	0	0	12	0	9	18	107	0	7	0	0	0	134	47	19	46	47	380	127	30	16	634	25	19	6	36	120	2	1	123	87	29	47	66	47	10	46	861	0	74	5	82	163	16	5	0	30	0	3	0	9	34	27	9	18	147	4	91	426	154	15	551	12	1	0	2363	17765	219	25	80	24	8	0	0	10	155	26	193	19	0	111	0	24	4	45	176	33	47	75	117	59	22	293	8	214	10215	77	610	41	54	146	157	2	30	0	6848	124	528	88	0	374	22	17	101	0	0	2	119	75	9	0	26	7	17	0	0	0	0	0	7	0	174	141	6	0	7	47	10	4	34	4	50	0	4599	2097	326	1219	85	3032	199	66	90	3146	0	0	177	122	29	32	115	45	806	9	82	4512	149	88	26	0	113	164	18	75	173	116	219	141
ASV0019	825	61	9	42	5	10	18	1439	9	19	42	308	205	35	27	42	30	150	16	301	54	18	0	28	71	78	349	295	182	256	71	326	112	157	141	73	38	453	324	108	47	14	164	29	159	46	361	70	28	825	76	1333	99	2539	466	195	212	23	243	2003	97	199	1113	36	1143	267	104	61	55	873	144	66	72	41	16	586	1380	194	108	1721	139	278	56	29	79	77	823	120	923	43	188	103	281	21	12	32	677	93	28	235	1319	4164	1511	78	94	161	3	70	86	635	209	340	33	1209	39	51	221	44	243	131	368	30	125	1962	18	22	65	96	203	140	28	161	44	138	82	416	31	20	91	218	10	104	57	0	0	113	173	333	89	9004	902	460	0	284	1129	66	37	744	208	126	1136	55	872	12	163	291	1025	0	173	10	45	32	1303	171	146	180	25	1022	161	1557	251	256	50	15	33	54	35
ASV0020	10	2	0	0	0	0	0	0	0	0	0	0	11	4	145	6	0	5	0	58	0	0	0	0	4	0	5	272	20	46	1	5	0	18	0	0	3	0	0	124	0	64	5	0	0	2	15	20699	0	8	88	6	152	216	5	0	3	0	0	0	0	7	1	122	3	7	8	3	0	4802	7	0	0	21	4	65	97	3	0	40	0	0	0	0	0	29	6	0	695	11	0	0	0	0	11	46	105	30	10	19	622	242	4	287	0	0	0	32861	0	0	10	2	0	0	3	94	44	99	0	4	64	1	3	2	0	0	10	2	0	7	2	1	0	0	0	69	39	10	24	5	9	2	0	0	4	0	0	0	0	9	0	4	0	103	28	74	74	4	18	3	3	2	5	2	0	5	2	0	4	17	0	0	355	50	13	0	4	0	0	1	2	6	25	61	29	3	0
