ASV	SRR14277122	SRR14277130	SRR14277133	SRR14277136	SRR14277138	SRR14277139	SRR14277140	SRR14277146	SRR14277147	SRR14277148	SRR14277149	SRR14277158	SRR14277162	SRR14277165	SRR14277166	SRR14277167	SRR14277181	SRR14277182	SRR14277190	SRR14277196	SRR14277197	SRR14277198	SRR14277203	SRR14277209	SRR14277211	SRR14277212	SRR14277214	SRR14277217	SRR14277118	SRR14277119	SRR14277120	SRR14277121	SRR14277124	SRR14277126	SRR14277127	SRR14277128	SRR14277134	SRR14277135	SRR14277137	SRR14277141	SRR14277143	SRR14277145	SRR14277150	SRR14277153	SRR14277154	SRR14277156	SRR14277160	SRR14277170	SRR14277171	SRR14277172	SRR14277173	SRR14277174	SRR14277180	SRR14277187	SRR14277188	SRR14277189	SRR14277191	SRR14277194	SRR14277202	SRR14277204	SRR14277206	SRR14277207	SRR14277210	SRR14277213	SRR14277215	SRR14277216	SRR14277123	SRR14277125	SRR14277129	SRR14277131	SRR14277132	SRR14277142	SRR14277144	SRR14277151	SRR14277152	SRR14277155	SRR14277157	SRR14277159	SRR14277161	SRR14277163	SRR14277164	SRR14277168	SRR14277169	SRR14277175	SRR14277176	SRR14277177	SRR14277178	SRR14277179	SRR14277183	SRR14277184	SRR14277185	SRR14277186	SRR14277192	SRR14277193	SRR14277195	SRR14277199	SRR14277200	SRR14277201	SRR14277205	SRR14277208	SRR14277218	SRR14277219
ASV0011	442	0	0	0	588	0	0	0	0	0	0	0	0	0	0	5768	0	0	0	0	59	0	0	0	1629	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	2185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1347	0	0	0	0	0	0	0	0	703	1007	0	0	0	15363	0	235	1876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0012	150	41	79	2192	116	42	139	0	0	18	19	306	15	42	286	24	0	204	57	263	119	20	31	74	69	126	47	14	415	1278	694	674	1068	120	1048	181	842	246	37	1429	7	68	23	9	19	77	314	361	736	37	0	41	111	343	71	391	77	0	47	45	33	0	235	32	42	111	234	1933	17	406	1139	337	954	16	109	80	205	212	235	9	53	52	60	687	332	244	399	46	0	202	261	253	11	41	233	231	216	82	2105	67	68	726
ASV0013	268	2	308	201	209	0	1563	0	0	270	2267	21	17	318	0	0	0	0	572	0	0	0	221	78	4036	191	323	0	633	600	847	369	0	0	0	0	1056	459	212	18	0	351	0	84	75	297	0	0	30	0	0	0	48	0	9	11	98	0	67	167	309	37	4331	0	0	55	53	0	0	0	0	266	172	0	43	299	219	52	0	80	578	436	387	203	80	55	0	0	30	116	54	0	385	910	0	0	0	219	0	410	237	146
ASV0014	1	0	0	1	180	46	0	0	0	0	0	55	32	0	0	13	0	68	6	0	0	28	342	76	0	0	45	0	160	121	87	145	60	0	0	0	10	0	32	0	39	2	0	22	20	37	0	125	203	0	0	45	0	0	8	2	0	2	310	14467	21	0	309	72	4667	1150	7	40	19	0	23	18	0	0	0	157	58	58	1	114	0	0	0	0	0	32	40	0	41	116	34	0	0	0	0	47	0	404	0	80	7	0
ASV0015	365	136	118	438	595	0	516	0	0	0	0	0	0	0	0	0	57	99	350	187	308	1602	0	0	0	0	0	0	209	83	329	436	53	1180	627	0	452	494	130	3351	0	0	0	0	0	0	0	110	104	0	60	155	86	165	485	543	273	0	0	0	0	0	0	0	116	223	143	74	105	167	233	0	0	0	0	0	0	0	0	0	0	0	0	518	744	111	217	108	0	1089	2967	474	279	1786	322	0	0	0	0	0	0	0
ASV0016	8	5	2	14	592	0	7	0	0	0	0	671	0	0	38	0	13	752	24	0	0	70	30	13	0	586	673	4056	21	18	0	146	0	23	8	0	67	54	18	179	0	5	10	0	14	6	16	4	54	0	0	4	0	0	5	0	0	23	20	0	0	0	11	11065	3	6	11	0	0	9	29	0	29	3	8	0	124	16	0	45	0	3	0	0	5	0	0	0	0	208	1979	0	7	321	14	0	0	35	301	0	0	0
ASV0017	0	4	1934	39	11	0	38	48	0	283	34	34	153	0	1677	1244	10	123	55	10	0	63	28	4	2	80	113	207	27	8	15	0	9	23	110	264	4585	29	13	7	621	133	18	80	57	23	492	30	0	76	76	37	5	4	1	52	0	801	24	0	7	24	70	20	118	142	0	5	5	20	209	2291	141	67	0	30	289	337	51	0	79	2674	17	113	14	120	105	0	0	112	54	4	4	20	31	40	0	10	113	16	371	83
ASV0018	0	0	15	22	0	0	22	22	0	0	0	0	0	0	103	0	3	0	41	0	5	0	0	0	0	0	9	11	49	10	7710	5473	41	467	428	0	59	0	0	14	0	28	0	0	0	0	0	106	66	0	1330	1815	75	0	89	154	62	2	155	0	0	0	0	0	11	0	20	46	4	5	0	0	125	32	101	0	0	26	0	0	0	6	0	552	17	476	619	206	0	268	57	27	9	17	0	0	0	0	0	15	0	0
ASV0019	50	2	6	178	38	1	606	0	0	569	855	68	148	242	714	17	0	71	460	0	81	94	147	0	163	177	60	205	91	17	127	96	25	0	0	234	44	43	95	226	0	114	0	375	835	269	229	9	8	0	0	0	84	0	59	9	33	179	0	0	199	5	2284	287	0	0	2	100	48	17	0	152	451	174	291	105	1181	558	0	214	740	140	51	53	35	37	22	56	70	117	276	0	32	106	160	472	624	57	593	0	20	490
ASV0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	3	0	0	0	0	0	0	0	0	1	0	0	487	0	0	0	5	0	8267	37	28	42	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	178	0	0	0	0	520	7	3	56	10	8249	0	13	0	38	0	0	0	0	0	0	0	0	0	0
